event barcode charge pt d0
177 10001 1 13814.8 80.0337
178 10001 1 8732.8 67.3294
179 10001 -1 18259.0 70.3693
180 10001 -1 5356.78 -36.706
181 10001 -1 9737.32 -93.1357
182 10001 -1 14176.6 -71.9535
183 10001 1 35528.5 -35.4274
184 10001 -1 7943.24 -20.7735
185 10001 -1 18373.9 20.5498
186 10001 -1 8829.49 -94.1422
187 10001 -1 7576.47 -26.6044
188 10001 1 12157.6 -83.5259
189 10001 1 16748.2 -88.2738
190 10001 -1 5274.2 41.9705
191 10001 1 6251.77 42.114
192 10001 -1 5950.31 81.9195
193 10001 -1 13476.1 -15.7137
194 10001 1 14464.2 82.2868
195 10001 1 11140.8 -27.7255
196 10001 1 11713.5 -38.8751
197 10001 -1 15180.8 4.19946
198 10001 -1 8579.75 81.2978
199 10001 1 5539.58 74.201
200 10001 -1 16387.4 -57.5685
201 10001 1 28879.9 46.385
202 10001 1 22919.1 -79.7243
203 10001 1 5143.69 -29.0412
204 10001 1 13907.2 20.2826
205 10001 1 7738.38 -65.0394
206 10001 -1 382023.0 -80.1392
207 10001 1 5860.29 76.2856
208 10001 -1 6727.23 -85.4712
209 10001 1 52907.5 73.8208
210 10001 1 76206.3 -94.2439
211 10001 1 6282.18 71.4565
212 10001 1 16550.8 86.1882
213 10001 1 5214.35 49.6298
214 10001 1 10269.2 -27.5644
215 10001 -1 9720.5 -89.7024
216 10001 1 37221.0 50.5832
217 10001 1 7611.88 68.6413
218 10001 -1 18266.2 -61.49
219 10001 1 111008.0 45.4145
220 10001 -1 9816.26 -38.1467
221 10001 -1 10265.1 78.7322
222 10001 -1 11442.9 -44.7592
223 10001 1 5412.25 -91.0187
224 10001 1 20284.3 -59.9248
225 10001 1 5632.59 61.6123
226 10001 1 24859.4 63.3152
227 10001 -1 8964.34 -55.9318
228 10001 -1 20289.5 98.8441
229 10001 1 6487.91 7.80074
230 10001 -1 11014.9 -96.157
231 10001 -1 8289.94 -39.1379
232 10001 1 5496.57 -96.3658
233 10001 1 23243.2 67.5448
234 10001 1 9649.84 1.8781
235 10001 -1 18478.1 27.61
236 10001 1 10840.3 -84.0491
237 10001 -1 5927.65 48.0821
238 10001 -1 7724.33 -83.8165
239 10001 1 5394.2 90.8347
240 10001 -1 16690.2 -7.63796
241 10001 -1 422461.0 -41.3076
242 10001 1 20907.1 -30.2504
243 10001 1 11649.9 10.7143
244 10001 -1 29453.2 69.5213
245 10001 1 7354.1 39.7587
246 10001 -1 6291.71 -75.983
247 10001 1 6077.9 80.1142
248 10001 1 13458.2 -80.5886
249 10001 -1 7139.0 -51.5823
250 10001 1 8834.06 12.5921
251 10001 -1 5558.34 -72.2126
252 10001 1 106651.0 -73.9016
253 10001 1 7290.46 88.7005
254 10001 1 33367.9 41.9894
255 10001 1 5859.73 69.0604
256 10001 -1 22336.9 51.3037
257 10001 1 5598.09 21.5196
258 10001 -1 25929.9 9.3893
259 10001 -1 7184.0 4.72907
260 10001 1 18310.8 65.736
261 10001 -1 6350.63 -20.3168
262 10001 -1 6670.4 19.3568
263 10001 -1 10532.0 -38.9865
264 10001 -1 48380.1 19.7927
265 10001 -1 5801.12 1.12178
266 10001 1 10514.5 -4.14115
267 10001 -1 7984.14 91.0441
268 10001 1 6217.55 37.3011
269 10001 1 17482.6 52.8328
270 10001 -1 8653.39 88.6745
271 10001 -1 5053.6 -95.339
272 10001 1 15308.9 38.5452
273 10001 -1 8892.72 -9.54883
274 10001 -1 10254.0 -24.897
275 10001 1 9704.83 28.2629
276 10001 -1 7450.43 -54.7327
277 10001 -1 5318.49 16.102
278 10001 -1 7114.15 18.2404
279 10001 1 8937.69 1.38984
280 10001 -1 5626.18 -11.4741
281 10001 -1 6715.26 -12.8087
282 10001 -1 15885.8 -17.4515
283 10001 1 14211.8 4.92617
284 10001 -1 9974.06 -16.882
285 10001 -1 8783.9 41.955
286 10001 -1 22127.4 -81.9618
287 10001 1 16998.4 42.6832
288 10001 -1 8770.92 23.1551
289 10001 -1 15468.7 87.7175
290 10001 -1 9066.4 76.4629
291 10001 1 5047.47 -32.2971
292 10001 1 6024.88 -7.52582
293 10001 1 272992.0 48.5203
294 10001 1 13066.9 35.1722
295 10001 1 15944.2 -5.43037
296 10001 1 5096.94 -78.907
297 10001 1 33398.7 92.7333
298 10001 1 5377.34 -37.7239
299 10001 -1 70943.3 -4.72364
300 10001 -1 8172.75 -34.9967
301 10001 -1 8206.21 4.65314
302 10001 1 121269.0 72.48
303 10001 1 6055.05 13.2767
304 10001 1 89432.8 -88.3961
305 10001 1 27160.8 -1.49464
306 10001 1 6020.78 39.7217
307 10001 -1 7694.61 91.5867
308 10001 -1 13555.2 0.157122
309 10001 1 6613.43 57.196
310 10001 1 12243.1 43.3659
311 10001 -1 50297.0 50.1703
312 10001 -1 6099.77 -17.3247
313 10001 1 5047.23 79.0481
314 10001 -1 136234.0 -91.0252
315 10001 1 10806.5 -80.0288
316 10001 1 28483.9 -88.1872
317 10001 -1 5056.72 -24.1051
318 10001 1 6445.64 -86.9844
319 10001 1 6011.0 29.0453
320 10001 1 58629.8 97.1383
321 10001 1 12512.4 -54.981
322 10001 1 6940.94 13.5657
323 10001 1 10401.3 -61.3123
324 10001 1 24867.6 -84.1784
325 10001 -1 5224.79 66.3181
326 10001 -1 17961.9 -59.5852
327 10001 1 16816.3 10.826
328 10001 1 12581.3 -33.368
329 10001 1 9746.37 -41.6411
330 10001 1 13059.8 98.1502
331 10001 -1 24635.8 -91.1311
332 10001 1 7244.8 32.0989
333 10001 1 10743.6 2.57898
334 10001 1 68871.3 -0.400035
335 10001 1 24641.6 43.5328
336 10001 -1 8752.77 37.5564
337 10001 -1 13737.3 66.7594
338 10001 1 19423.2 -43.797
339 10001 -1 8332.72 81.7262
340 10001 -1 8639.31 -85.9162
341 10001 1 15923.7 -99.6519
342 10001 1 6470.98 30.5163
343 10001 1 10632.6 -93.9557
344 10001 -1 6975.31 -51.5246
345 10001 -1 9464.63 -47.5335
346 10001 -1 5458.63 -86.2161
347 10001 -1 10181.7 -82.4143
348 10001 1 28668.5 -36.5574
349 10001 1 7776.02 65.3561
350 10001 1 33175.3 -29.9026
351 10001 1 6627.9 -50.3298
352 10001 -1 10522.4 61.3326
353 10001 1 8473.57 44.7062
354 10001 1 5967.18 85.4858
355 10001 -1 7851.13 24.7527
356 10001 -1 19601.4 -41.2307
357 10001 -1 5798.99 22.6764
358 10001 1 87237.3 -50.4274
359 10001 -1 160652.0 85.6384
360 10001 1 7629.78 -33.3331
361 10001 1 7262.24 -22.9892
362 10001 1 5671.16 -33.1037
363 10001 1 10078.0 -35.1757
364 10001 -1 14887.0 34.0087
365 10001 -1 38499.7 -15.0274
366 10001 1 6173.93 82.6264
367 10001 -1 132498.0 -37.8848
368 10001 -1 5794.07 -18.3933
369 10001 1 41876.0 55.7866
370 10001 -1 11926.2 63.5133
371 10001 -1 13812.4 -3.44474
372 10001 1 16631.6 -97.1283
373 10001 1 9076.97 66.2255
374 10001 -1 8369.08 47.5327
375 10001 -1 38393.3 46.3704
376 10001 1 5381.0 88.1378
377 10001 1 5510.05 60.6623
378 10001 1 143258.0 -47.6832
379 10001 1 5177.87 -40.9756
380 10001 1 11420.0 -71.2884
381 10001 -1 5122.55 44.52
382 10001 -1 15030.7 -21.8213
383 10001 1 6489.47 72.0464
384 10001 -1 11252.2 50.0406
385 10001 -1 8235.31 -81.7905
386 10001 1 20138.4 11.1552
387 10001 1 122556.0 4.84552
388 10001 -1 307239.0 -72.3261
389 10001 1 6558.11 -30.2868
390 10001 1 17120.9 92.2263
391 10001 -1 6262.31 61.4231
392 10001 1 12846.3 0.0836003
393 10001 1 5811.97 59.1513
394 10001 1 5217.17 7.0725
395 10001 -1 5330.53 74.2299
396 10001 1 5928.43 -87.0688
397 10001 -1 7968.37 94.8641
398 10001 -1 8754.01 -64.5331
399 10001 -1 7105.71 -64.3012
400 10001 1 8576.36 -2.15883
401 10001 1 6073.07 95.2183
402 10001 -1 6097.7 6.42174
403 10001 -1 9598.37 -71.76
404 10001 -1 39387.7 19.6107
405 10001 1 24046.2 -49.7295
406 10001 1 18584.1 94.0267
407 10001 -1 8929.36 -63.5613
408 10001 1 6582.47 -39.71
409 10001 -1 9181.05 -79.4824
410 10001 1 33222.1 31.6321
411 10001 -1 5586.92 26.6403
412 10001 1 40013.7 72.1784
413 10001 -1 289581.0 65.7281
414 10001 -1 27479.7 41.0984
415 10001 -1 8400.82 -46.4978
416 10001 1 29728.5 18.006
417 10001 1 22152.8 -47.1283
418 10001 1 11665.8 -80.924
419 10001 1 19060.7 -44.0284
420 10001 -1 13419.2 0.586221
421 10001 1 5280.89 63.2124
422 10001 -1 36446.2 -42.2597
423 10001 1 6680.15 64.536
424 10001 1 286088.0 62.9199
425 10001 -1 60240.0 -15.3915
426 10001 1 23434.3 83.5481
427 10001 -1 77580.0 92.2775
428 10001 1 15632.6 -56.7863
429 10001 -1 17113.7 12.6754
430 10001 1 7089.35 -67.0283
431 10001 -1 7340.94 -39.2044
432 10001 -1 6559.08 54.3949
433 10001 -1 5314.07 32.6818
434 10001 1 10098.1 -42.6414
435 10001 1 9812.98 91.8477
436 10001 1 134533.0 11.246
437 10001 1 20441.7 62.3558
438 10001 -1 8585.58 46.2388
439 10001 -1 38901.3 -3.997
440 10001 -1 5783.62 11.4316
441 10001 1 16750.6 27.1568
442 10001 -1 9004.08 15.2825
443 10001 -1 123283.0 60.0109
444 10001 -1 8579.14 -95.2393
445 10001 1 8358.55 6.6631
446 10001 -1 17396.5 -31.8446
